IDLicitacion;NombreLicitacion;Tipo;Estado;FechaPublicacion;Descripcion;Moneda;TipoPresupuesto;TipoMonto;MontoLicitacion;Organismo
4707-2-L121; SERVICIO DE RETIRO, TRANSPORTE Y ELIMINACIÓN DE RESIDUOS PELIGROSOS Y ESPECIALES PARA EL CESFAM SAN NICOLAS PERIODO 2021-2022;L1;Adjudicada a uno o varios proveedores;21/01/2021 18:13:00; SERVICIO DE RETIRO, TRANSPORTE Y ELIMINACIÓN DE RESIDUOS PELIGROSOS Y ESPECIALES PARA EL CESFAM SAN NICOLAS PERIODO 2021-2022;CLP;PUBLICADO;ESTIMADO;4.000.000;I MUNICIPALIDAD DE SAN NICOLAS
3210-10-L122;RETIRO DE RESIDUOS PELIGROSOS;L1;Adjudicada a uno o varios proveedores;04/03/2022 09:56:07;CONTRATO DE SERVICIO PARA RETIRO DE RESIDUOS PELIGROSOS POR PERIODO DE 3 AÑOS;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;I MUNICIPALIDAD DE SAN RAFAEL
3277-33-L120;PM 113 RETIRO DE RESIDUOS PELIGROSOS;L1;Adjudicada a uno o varios proveedores;07/04/2020 13:07:11;PM 113 RETIRO DE RESIDUOS PELIGROSOS;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;Fuerza Aérea de Chile
874750-6-LE24;RETIRO DE RESIDUOS PELIGROSOS RESPEL;LE;Adjudicada a uno o varios proveedores;01/02/2024 10:08:14;El Hospital de Porvenir tiene por objeto la contratación del servicio de retiro de residuos peligrosos por un periodo de 24 meses. Realizándose dos retiros al año, esto, debido al cumplimiento de la normativa vigente, que indica que no se puede exceder el almacenamiento de residuos peligrosos más de 6 meses, ni exceder los 600 kilos permitidos por retiro.;CLP;PUBLICADO;ESTIMADO;12.000.000;SERVICIO DE SALUD MAGALLANES
1116007-29-L120;SERVICIO RETIRO, TRANSPORTE Y DISPOSICIÓN FINAL;L1;Adjudicada a uno o varios proveedores;21/04/2020 08:58:49;SERVICIO RETIRO, TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS DE LA ZONA AEROPORTUARIA AUSTRAL;CLP;PUBLICADO;ESTIMADO;3.633.000;Dirección General de Aeronáutica Civil
619133-52-R124;CONVENIO DEL SERVICIO DE RETIRO Y DISPOSICION FINAL DE RESIDUOS PELIGROSOS REAS DEL HOSPITAL SAN CAMILO DE SAN FELIPE;LQ;Adjudicada a uno o varios proveedores;09/04/2024 18:26:00;Las presentes Bases Administrativas rigen el llamado a licitación pública “CONVENIO DEL SERVICIO DE RETIRO Y DISPOSICION FINAL DE RESIDUOS PELIGROSOS REAS DEL HOSPITAL SAN CAMILO DE SAN FELIPE”, ubicado en Av. Miraflores 2085 San Felipe, Quinta región, aplicando los procedimientos establecidos en la Ley de Compras N° 19.886 de la Administración Pública.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 2.000 UTM e inferior a 5.000 UTM ;SERVICIO SALUD SAN FELIPE LOS ANDES HOSP
3090-5-LE25;SERVICIO DE RETIRO DE RESIDUOS PELIGROSOS;LE;Adjudicada a uno o varios proveedores;05/03/2025 16:11:31;“SERVICIO DE RETIRO Y DISPOSICIÓN FINAL DE RESIDUOS ESPECIALES Y RESIDUOS PELIGROSOS” PARA LA CENTRAL ODONTOLÓGICA IIA. ZONA NAVAL, POR CUANTO RESULTA ESENCIAL PARA EL  FUNCIONAMIENTO DE ESTE SERVICIO DE SALUD DENTAL.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;DIRECCION DE ABASTECIMIENTO DE LA ARMADA
1002-30-LP25;RETIRO DE RESIDUOS PELIGROSOS;LP;Adjudicada a uno o varios proveedores;21/04/2025 13:20:00;RETIRO DE RESIDUOS PELIGROSOS, EN DEPENDENCIAS DE LA DIRECCION DE VIALIDAD, REGION DE LOS LAGOS.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
2436-375-L122;Servicio de retiro, transporte y disposición final de residuos peligrosos, según detalle, necesario para Gestión Ambiental y Territorio;L1;Adjudicada a uno o varios proveedores;21/09/2022 13:00:00;Dirección Gestión Ambiental y Territorio requiere Servicio de retiro, transporte y disposición final de residuos peligrosos, según detalle, S.P.N°309341;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;I MUNICIPALIDAD DE CURICO
4137-10-L123;Servicio retiro de residuos peligrosos Aeródromo Desierto de Atacama;L1;Adjudicada a uno o varios proveedores;17/10/2023 13:24:51;La necesidad de contratar el servicio de retiro de residuos peligrosos generados por el Aeródromo Desierto de Atacama;CLP;PUBLICADO;DISPONIBLE;2.000.000;DIRECCION GENERAL DE AERONAUTICA CIVIL
1657-4-L120;SERVICIO RETIRO, TRANSPORTE Y DISPOSICION FINAL RESIDUOS PELIGROSOS Y ESPECIALES LABORATORIO SALUD PUBLICA AMBIENTAL REGION DE COQUIMBO;L1;Adjudicada a uno o varios proveedores;14/02/2020 15:33:05;SERVICIO RETIRO, TRANSPORTE, DISPOSICION Y ELIMINACION FINAL DE RESIDUOS PELIGROSOS Y ESPECIALES DEL LABORATORIO DE SALUD PUBLICA AMBIENTAL SRMS4  ;CLP;PUBLICADO;DISPONIBLE;1.300.000;Subsecretaría de Salud Pública
3821-4-LE20;Servicio de retiro y eliminación REAS;LE;Adjudicada a uno o varios proveedores;15/07/2020 16:16:00;Servicios de retiro, transporte y disposición final de los residuos peligrosos y residuos especiales desde establecimiento de atención primaria de salud;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;Ilustre Municipalidad de Santa María
2408-200-L120;SERV. RETIRO, TRANSPORTE Y DISPOSIC. FINAL RESIDUOS PELIGROSOS Y ESP. MUNICIPALIDAD L. ANGELES - Readjudicada en Id 2408-200-R120;L1;Adjudicada a uno o varios proveedores;09/10/2020 13:07:00;SERVICIO DE RETIRO, TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS Y ESPECIALES DE LA MUNICIPALIDAD DE LOS ANGELES.  DIRECCIÓN DE MEDIO AMBIENTE;CLP;PUBLICADO;ESTIMADO;4.000.000;Municipalidad de Los Angeles
1746-10-LE22;SERVICIO DE RETIRO DE RESIDUOS PELIGROSOS;LE;Adjudicada a uno o varios proveedores;21/01/2022 10:26:49;Se Requiere del servicio de retiro, tratamiento y disposición final de residuos peligrosos sólidos y líquidos del Laboratorio de Salud Publica y Ambiental de la SEREMI de Salud Aysén, ubicado en calle Ciro Arredondo 40, Puerto Aysén.;CLP;PUBLICADO;DISPONIBLE;7.300.000;SUBSECRETARIA DE SALUD PUBLICA
681563-2-LP22;RETIRO, TRASLADO, y DISPOSICIÓN FINAL DE RESIDUOS;LP;Adjudicada a uno o varios proveedores;12/01/2022 19:22:00;RETIRO DE RESIDUOS PELIGROSOS DE TALLERES Y OTRAS INSTALACIONES DE METRO S.A.;UF;PUBLICADO;DISPONIBLE;01,0000;EMPRESA DE TRANSPORTE DE PASAJEROS METRO S A
5363-5-L122;13/2022 SERVICIO DE RETIRO, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS (LIQUIDOS Y SOLIDOS) ;L1;Adjudicada a uno o varios proveedores;26/04/2022 16:07:00;CONTRATACIÓN DEL SERVICIO DE RETIRO, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS (LIQUIDOS Y SOLIDOS) DEL C.A.R. DEL GRUPO DE ABASTECIMIENTO;CLP;PUBLICADO;DISPONIBLE;2.050.000;FUERZA AEREA DE CHILE COMANDO LOGISTICO
5363-1-L121;03/2021 RETIRO, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS (LIQUIDOS Y SOLIDOS).;L1;Adjudicada a uno o varios proveedores;30/04/2021 14:32:33;CONTRATACIÓN DEL SERVICIO DE RETIRO, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS (LIQUIDOS Y SOLIDOS) DEL C.A.R. DEL GRUPO DE ABASTECIMIENTO, PARA EL AÑO 2021.;CLP;PUBLICADO;DISPONIBLE;2.750.000;FUERZA AEREA DE CHILE COMANDO LOGISTICO
5586-97-LP20;“CONTRATO DE SUMINISTRO SERVICIO DE RETIRO DE RESIDUOS PELIGROSOS” ;LP;Adjudicada a uno o varios proveedores;13/04/2020 16:04:11;se requiere licitación pública para contrato de suministro servicio de retiro de residuos peligrosos de esta Universidad. ;CLP;PUBLICADO;DISPONIBLE;72.000.000;UNIVERSIDAD DE LA FRONTERA
4256-17-LE20;SERVICIOS DE RETIRO Y DSPOSICION FINAL RESIDUOS;LE;Adjudicada a uno o varios proveedores;21/12/2020 16:25:00;Servicios de retiro y disposición final residuos peligrosos especiales CESFAM San Fabián.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE SAN FABIAN
438-11-LE24;SERVICIO DE RETIRO DE MATERIAL CORTOPUNZANTE RESIDUOS ESPECIALES RESIDUOS PELIGROSOS Y SUMINISTRO DE INSUMOS;LE;Adjudicada a uno o varios proveedores;17/01/2024 16:28:24;ESTA LICITACION PUBLICA CONSISTE EN CONTRATAR EL SERVICIO DE RETIRO DE MATERIAL CORTOPUNZANTE, RESIDUOS ESPECIALES, RESIDUOS PELIGROSOS Y SUMINISTRO DE INSUMOS;CLP;PUBLICADO;DISPONIBLE;24.000.000;I MUNICIPALIDAD DE SAN RAMON
5413-153-LE24;“SERVICIO RETIRO DE RESIDUOS PELIGROSOS DE LA UNIVERSIDAD DE LOS LAGOS;LE;Adjudicada a uno o varios proveedores;26/11/2024 12:17:43;UNIVERSIDAD DE LOS LAGOS, REQUIERE CONTRATAR “SERVICIO RETIRO DE RESIDUOS PELIGROSOS. SEGÚN SASERVI N°78402.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;UNIVERSIDAD DE LOS LAGOS
4291-2-LQ21;SERVICIO DE RETIRO DE RESIDUOS PELIGROSOS DE LA UA;LQ;Adjudicada a uno o varios proveedores;28/01/2021 20:08:39;La Universidad de Antofagasta requiere contar con un convenio de Servicio de Retiro, transporte, tratamiento y disposición final de residuos peligrosos, sólidos y residuos biológicos-clínicos, provenientes de las operaciones propias de las actividades que desarrolla la Universidad de Antofagasta.;CLP;PUBLICADO;ESTIMADO;250.000.000;UNIVERSIDAD DE ANTOFAGASTA
5413-40-LE25;SERVICIO RETIRO DE RESIDUOS PELIGROSOS DE LA UNIVERSIDAD DE LOS LAGOS;LE;Adjudicada a uno o varios proveedores;11/04/2025 15:58:52;Universidad de Los Lagos, requiere de Servicio Retiro de Residuos Peligrosos. Según Solicitud de Compra Saservi N°79394.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;UNIVERSIDAD DE LOS LAGOS
2078-29-LE22;CONVENIO PARA EL RETIRO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS SC125;LE;Adjudicada a uno o varios proveedores;14/07/2022 16:32:00;PROVEER LA COMPRA DEL SERVICIOS DE RETIRO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS DE LA SEREMI DE SALUD DE LA REGIÓN DEL BIOBIO.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;SUBSECRETARIA DE SALUD PUBLICA
1719-2-L126;SERVICIO DE RETIRO TRANSPORTE Y ELIMINACION REAS;L1;Adjudicada a uno o varios proveedores;09/01/2026 16:58:25;Servicio de Retiro, transporte y eliminación de residuos peligrosos y especiales del CESFAM Sagrada Familia, según decreto bases N°107.-;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;ILUSTRE MUNICIPALIDAD  DE SAGRADA FAMILIA
438-105-LE25;SERVICIO DE RETIRO DE MATERIAL CORTOPUNZANTE RESIDUOS ESPECIALES RESIDUOS PELIGROSOS Y SUMINISTRO DE INSUMOS ;LE;Adjudicada a uno o varios proveedores;10/12/2025 07:39:21;ESTA PROPUESTA CONSISTE EN CONTRATAR LOS SERVICIOS DE RETIRO DE MATERIAL CORTOPUNZANTE RESIDUOS ESPECIALES RESIDUOS PELIGROSOS Y SUMINISTRO DE INSUMOS ;CLP;PUBLICADO;DISPONIBLE;25.000.000;I MUNICIPALIDAD DE SAN RAMON
3140-15-LE20;SERVICIO DE RETIRO, MANEJO, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS;LE;Adjudicada a uno o varios proveedores;09/10/2020 11:08:00;CONTRATO SUMINISTRO SERVICIO DE RETIRO, MANEJO, TRATAMIENTO Y DISPOSICIÓN FINAL PARA RESIDUOS PELIGROSOS, RADIOACTIVO DE BAJA INTENSIDAD Y ESPECIALES DEL DEPARTAMENTO DE SALUD M. LAGO RANCO, PERIODO 2020-2021.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE LAGO RANCO
634-109-L121;Servicio de Transporte y Eliminación de Residuos Peligrosos (Teléfonos Celulares);L1;Adjudicada a uno o varios proveedores;07/10/2021 15:24:48;DISPONE EL LLAMADO A LICITACIÓN PÚBLICA MENOR O IGUAL A 100 UTM Y APRUEBA BASES ADMINISTRATIVAS Y TÉCNICAS DESTINADAS A LA CONTRATACIÓN DEL SERVICIO DE SERVICIO DE TRANSPORTE Y ELIMINACIÓN DE RESIDUOS PELIGROSOS (TELÉFONOS CELULARES).;CLP;PUBLICADO;ESTIMADO;01;DIRECCION GENERAL DE GENDARMERIA DE CHIL
2408-384-L121;RETIRO, TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS Y ESPECIALES;L1;Adjudicada a uno o varios proveedores;15/12/2021 16:25:21;RETIRO, TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS Y ESPECIALES;CLP;PUBLICADO;ESTIMADO;4.000.000;I MUNICIPALIDAD DE LOS ANGELES
4137-6-L123;Svc. retiro de residuos sólidos  ;L1;Adjudicada a uno o varios proveedores;23/06/2023 10:21:50;La necesidad de contratar el servicio de retiro de residuos peligrosos generados por el Aeródromo Desierto de Atacama.;CLP;PUBLICADO;DISPONIBLE;2.000.000;DIRECCION GENERAL DE AERONAUTICA CIVIL
4337-3-L120;C.S. retiro residuos peligrosos Cesfam Renaico;L1;Adjudicada a uno o varios proveedores;02/01/2020 16:44:48;La necesidad de contar con servicios especializados en el manejo y retiro de material contaminado o peligroso.;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;Ilustre Municipalidad de Renaico
2274-10-L124;APRUEBA PROPUESTA PUBLICA SERVICIO DE RETIRO DE RESIDUOS PELIGROSOS Y ESPECIALES DEC. 211;L1;Adjudicada a uno o varios proveedores;06/02/2024 17:34:23;CESFAM COMUNALES;CLP;PUBLICADO;DISPONIBLE;5.500.000;I MUNICIPALIDAD DE LA PINTANA
2694-8-LE24;REAS  2024;LE;Adjudicada a uno o varios proveedores;13/02/2024 12:57:27;SERVICIO  DE  RETIRO  Y  ELIMINACIÓN  DE  RESIDUOS  PELIGROSOS  PARA  AREA  DE  SALUD  MUNICIPAL  DE  CARTAGENA,  AÑO  2024.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE CARTAGENA
872-54-L122;Gestión Residuos Peligrosos CCHEN;L1;Adjudicada a uno o varios proveedores;20/05/2022 13:07:01;La Comisión Chilena de Energía Nuclear requiere adquirir el servicio de retiro, transporte y disposición de Residuos Peligrosos para los Centros Nucleares de La Reina -Nueva Bilbao 12501, Las Condes- y CEN Lo Aguirre - Ruta 68 km 22 (Pasado Peaje y Antes Túnel Lo Prado), Pudahuel-, para el periodo 2022;CLP;PUBLICADO;DISPONIBLE;2.600.000;Comisión Chilena de Energía Nuclear
1741-118-L122;RETIRO Y TRASLADO DE RESIDUOS PELIGROSOS- MEDIO AMBIENTE ;L1;Adjudicada a uno o varios proveedores;23/11/2022 17:04:01;SOLICITUD DE PEDIDO N° 9 MEDIO AMBIENTE RETIRO Y TRASLADO DE RESIDUOS PELIGROSOS (PILAS) DE PUNTO LIMPIO MUNICIPAL;CLP;PUBLICADO;ESTIMADO;2.500.000;I MUNICIPALIDAD DE SAN MIGUEL
4111-8-LE22;SERV. RETIRO RESIDUOS ESPE. Y PELIGROSOS CESFAM;LE;Adjudicada a uno o varios proveedores;15/12/2022 19:17:14;SERVICIO DE RETIRO DE RESIDUOS ESPECIALES Y RESIDUOS PELIGROSOS DESDE EL CENTRO DE SALUD FAMILIAR JOSE JOAQUIN AGUIRRE DE CALLE LARGA.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE CALLE LARGA
872-75-L120;RETIRO, TRANSPORTE Y DISPOSICIÓN DE RESIDUOS PELIGROSOS;L1;Adjudicada a uno o varios proveedores;27/07/2020 15:58:22;La Comisión Chilena de Energía Nuclear requiere efectuar retiro, transporte y disposición de Residuos Peligrosos para el periodo 2020. del Centro de Estudios Nucleares La Reina  ubicado en Avenida Nueva Bilbao 12501,Las Condes;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;Comisión Chilena de Energía Nuclear
3090-1-LE21;SERV. DE RETIRO DE RESIDUOS ESPECIALES Y PELIGROSO;LE;Adjudicada a uno o varios proveedores;08/01/2021 17:56:33;NECESIDAD DE CONTRATAR UN SERVICIO DE RETIRO Y DISPOCIÓN FINAL DE RESIDUOS ESPECIALES Y RESIDUOS PELIGROSOS, PARA LA CENTRAL ODONTOLÓGICA IIA. ZONA NAVAL.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;DIRECCION DE ABASTECIMIENTO DE LA ARMADA
2408-200-R120;SERV. RETIRO, TRANSPORTE Y DISPOSIC. FINAL RESIDUOS PELIGROSOS Y ESP. MUNICIPALIDAD L. ANGELES;L1;Adjudicada a uno o varios proveedores;09/10/2020 13:07:00;SERVICIO DE RETIRO, TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS Y ESPECIALES DE LA MUNICIPALIDAD DE LOS ANGELES.  DIRECCIÓN DE MEDIO AMBIENTE;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;Municipalidad de Los Angeles
1116006-6-L120;Servicio retiro residuos peligrosos RESPEL Ad. Balmaceda 2020;L1;Adjudicada a uno o varios proveedores;19/11/2020 19:32:10;Se requiere realizar el servicio retiro residuos peligrosos RESPEL, del Aeródromo Balmaceda 2020, según Bases Técnicas y documentos, anexos del proceso.-;CLP;PUBLICADO;DISPONIBLE;2.554.105;DIRECCION GENERAL DE AERONAUTICA CIVIL
4707-67-L123;SERVICIO ANUAL PARA RETIRO DE RESIDUOS PELIGROSOS;L1;Adjudicada a uno o varios proveedores;27/11/2023 16:28:00;SERVICIO ANUAL PARA RETIRO DE RESIDUOS PELIGROSOS;CLP;PUBLICADO;ESTIMADO;10.000.000;I MUNICIPALIDAD DE SAN NICOLAS
2705-40-LE25;SERVICIO DE RETIRO MANEJO TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS UNIVERSIDAD DEL BÍO-BÍO;LE;Adjudicada a uno o varios proveedores;30/04/2025 10:17:11;La necesidad de contar con el Servicio de Retiro, Manejo, Transporte y Disposición Final de Residuos Peligrosos.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;UNIVERSIDAD DEL BIO BIO
2694-3-LE21;REAS  2021 - 2022;LE;Adjudicada a uno o varios proveedores;27/01/2021 11:31:00;SERVICIO  DE  TRANSPORTE  Y  ELIMINACIÓN  DE  RESIDUOS  PELIGROSOS  REAS,  PARA   CESFAM,  SAPU  Y  CECOSF,  POR  PERIODO  2021-2022.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;MUNICIPALIDAD DE CARTAGENA
1469-41-L121;Gestión Integral de Residuos Peligrosos, Universidad de Talca”;L1;Adjudicada a uno o varios proveedores;01/03/2021 11:43:35;La presente licitación tiene por objeto la contratación de un servicio de manejo, retiro, transporte, tratamiento y disposición final de residuos peligrosos y especiales de todos los campus de la Universidad de Talca.;CLP;PUBLICADO;ESTIMADO;5.000.000;UNIVERSIDAD DE TALCA
624891-20-L120;adquisición del servicio de retiro, traslado y disposición final de residuos peligrosos desde el Aeródromo Mocopulli;L1;Adjudicada a uno o varios proveedores;19/06/2020 14:59:06;adquirir el servicio de retiro, traslado y disposición final de residuos peligrosos desde el Aeródromo Mocopulli;CLP;PUBLICADO;DISPONIBLE;1.260.000;Dirección General de Aeronáutica Civil
3977-11-L120;Servicio de retiro, traslado, tratamiento y eliminación de residuos peligrosos REAS;L1;Adjudicada a uno o varios proveedores;18/03/2020 17:30:08;Servicio de retiro, traslado, tratamiento y eliminación de residuos peligrosos REAS del Departamento de Salud Municipal de Santa Bárbara. Orden de Pedido Nº30;CLP;PUBLICADO;ESTIMADO;800.000;Ilustre Municipalidad de Santa Barbara
1658-289-L120;S112/ASEO-MEDIO AMBIENTE/ADQ. SERVICIO DE MANEJO, TRANSPORTE Y DISPOSICION FINAL DE RESIDUOS PELIGROSOS PARA CLINICA VETERINARIA MUNICIPAL.;L1;Adjudicada a uno o varios proveedores;03/08/2020 09:03:05;SERVICIO DE MANEJO, TRANSPORTE Y DISPOSICION FINAL DE RESIDUOS PELIGROSOS PARA CLINICA VETERINARIA MUNICIPAL., ;CLP;PUBLICADO;ESTIMADO;2.300.000;Municipalidad de Temuco
1116005-21-L121;Servicio de retiro y disposición final de residuos peligrosos del Aeropuerto El Tepual año 2021;L1;Adjudicada a uno o varios proveedores;01/09/2021 15:24:09;Servicio de retiro y disposición final de residuos peligrosos del Aeropuerto El Tepual para el año 2021;CLP;PUBLICADO;DISPONIBLE;1.750.000;DIRECCION GENERAL DE AERONAUTICA CIVIL
1417-17-L122;Servicio de retiro y eliminación de residuos peligrosos ;L1;Adjudicada a uno o varios proveedores;06/06/2022 13:18:50;Contratar el Servicio de Retiro y Eliminación de Residuos peligrosos para el Aeropuerto Andrés Sabella de Antofagasta.;CLP;PUBLICADO;DISPONIBLE;2.000.000;DIRECCION GENERAL DE AERONAUTICA CIVIL
2705-8-LE22;RETIRO, MANEJO, TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS;LE;Adjudicada a uno o varios proveedores;10/01/2022 20:44:37;La necesidad de contar para la Universidad del Bío-Bío con el Servicio de Retiro, Manejo, Transporte y Disposición Final de Residuos Peligrosos;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;UNIVERSIDAD DEL BIO BIO
2436-180-L123;Adquisición de Bodega para el almacenamiento de residuos peligrosos, necesaria para Talleres Municipales, según especificaciones técnicas;L1;Adjudicada a uno o varios proveedores;28/04/2023 13:18:14;Depto. Transporte requiere la Adquisición de Bodega para el almacenamiento de residuos peligrosos, necesaria para Talleres Municipales, según especificaciones técnicas, S.P.N°315809 ;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;I MUNICIPALIDAD DE CURICO
